id,key,value,type
24584404,oneway,-1,regular
24584406,highway,tertiary,regular
24584406,name,Pandit Pant Marg,regular
24584407,access,no,regular
24584407,highway,service,regular
24584407,name,Lok Sabha Marg,regular
24584408,highway,unclassified,regular
24584408,name,Gurudwara Rakabganj Road,regular
24584409,highway,unclassified,regular
24584410,highway,unclassified,regular
24584411,highway,unclassified,regular
24584411,junction,roundabout,regular
24584412,highway,unclassified,regular
24584413,highway,unclassified,regular
24584414,highway,residential,regular
24584415,highway,residential,regular
24584415,oneway,yes,regular
24584416,highway,service,regular
24584417,highway,unclassified,regular
24584418,highway,service,regular
24584419,highway,residential,regular
24584419,oneway,yes,regular
24584420,highway,service,regular
24584421,highway,unclassified,regular
24584422,highway,unclassified,regular
24584423,highway,tertiary,regular
24584423,name,Church Road,regular
24584424,highway,residential,regular
24584426,highway,unclassified,regular
24584500,highway,tertiary,regular
24584500,junction,roundabout,regular
24584501,highway,tertiary,regular
24584501,name,Church Road,regular
24584501,oneway,yes,regular
24584502,highway,tertiary,regular
24584502,name,Church Road,regular
24584502,oneway,yes,regular
24584503,highway,tertiary,regular
24584504,highway,unclassified,regular
24584505,highway,unclassified,regular
24584505,oneway,yes,regular
24584506,highway,unclassified,regular
24584506,oneway,yes,regular
24584507,highway,unclassified,regular
24584508,highway,unclassified,regular
24584508,junction,roundabout,regular
24584509,highway,unclassified,regular
24584510,highway,unclassified,regular
24584511,highway,unclassified,regular
24584512,highway,unclassified,regular
24617971,highway,secondary,regular
24617971,junction,roundabout,regular
24617971,oneway,yes,regular
24617972,highway,residential,regular
24617972,name,Pandit Uma Shankar Dikshit Marg,regular
24617983,highway,secondary,regular
24617983,junction,roundabout,regular
24617983,name,Teen Murti,regular
24617989,highway,secondary,regular
24617989,name,South Avenue,regular
24617991,highway,unclassified,regular
24617991,name,Kushak Road,regular
24617994,highway,tertiary,regular
24617994,name,Teen Murti Marg,regular
24618002,highway,secondary,regular
24618002,junction,roundabout,regular
24618015,amenity,parking,regular
24618015,created_by,Potlatch 0.9c,regular
24676122,highway,tertiary,regular
24676122,oneway,yes,regular
24676133,highway,residential,regular
24676525,leisure,park,regular
24676531,highway,residential,regular
24676533,highway,residential,regular
24676535,highway,residential,regular
24676551,highway,residential,regular
24676573,highway,tertiary,regular
24676573,name,Govind Lal Sikka Marg,regular
24690209,colour,ff0000,regular
24690209,electrified,contact_line,regular
24690209,frequency,50,regular
24690209,gauge,1676,regular
24690209,name,Delhi Metro Red Line,regular
24690209,railway,subway,regular
24690209,voltage,25000,regular
24943999,name,यमुना,regular
24943999,bn,যমুনা,name
24943999,en,Yamuna,name
24943999,gu,યમુના,name
24943999,hi,यमुना,name
24943999,kn,ಯಮುನಾ,name
24943999,mr,यमुना,name
24943999,ta,யமுனை,name
24943999,waterway,river,regular
24944222,name,Yamuna,regular
24944222,bn,যমুনা,name
24944222,en,Yamuna,name
24944222,gu,યમુના,name
24944222,hi,यमुना,name
24944222,kn,ಯಮುನಾ,name
24944222,mr,यमुना,name
24944222,ta,யமுனை,name
24944222,waterway,river,regular
25457965,highway,primary,regular
25457965,lanes,2,regular
25457965,maxspeed,40,regular
25457965,name,Mahatma Gandhi Marg,regular
25457965,oneway,yes,regular
25493874,bridge,yes,regular
25493874,highway,path,regular
25493874,lanes,1,regular
25493874,layer,1,regular
25493874,surface,paved,regular
25493874,width,2,regular
25524672,highway,primary,regular
25524672,lanes,2,regular
25524672,maxspeed,40,regular
25524672,name,Mahatma Gandhi Marg,regular
25524672,oneway,yes,regular
25744587,highway,residential,regular
25744598,highway,primary,regular
25744598,oneway,yes,regular
25744600,highway,primary,regular
25744600,oneway,yes,regular
25744606,highway,tertiary,regular
25744606,oneway,yes,regular
25865019,highway,living_street,regular
25865021,highway,tertiary,regular
26582635,highway,secondary,regular
26582635,name,Jawaharlal Nehru Marg,regular
26582635,oneway,yes,regular
26662836,highway,service,regular
26662841,highway,residential,regular
26662843,highway,service,regular
26662844,amenity,parking,regular
26664728,highway,residential,regular
26664731,highway,residential,regular
26664737,highway,secondary_link,regular
26664737,oneway,yes,regular
26664738,highway,residential,regular
27422249,highway,tertiary,regular
27422249,name,Rajaji Marg,regular
27422250,highway,tertiary,regular
27422250,name,Tyagaraj Marg,regular
27422252,highway,tertiary,regular
27422252,junction,roundabout,regular
27422253,highway,tertiary,regular
27422253,junction,roundabout,regular
27422255,highway,tertiary,regular
27422255,oneway,yes,regular
27422268,highway,secondary_link,regular
27422268,name,Aurobindo Marg,regular
27422268,oneway,yes,regular
28103618,highway,tertiary,regular
28103618,name,Purana Quila Road,regular
28103634,highway,tertiary,regular
28103634,name,Bhagwan Das Road,regular
28103660,highway,secondary,regular
28103660,name,Bhairon Marg,regular
28103660,oneway,yes,regular
28103691,amenity,fairgrounds,regular
28103691,name,Pragati Maidan,regular
28103691,tourism,attraction,regular
28103794,highway,secondary,regular
28103794,name,Vivekananda Road,regular
28103817,highway,secondary,regular
28103817,name,Jawaharlal Nehru Marg,regular
28103817,oneway,yes,regular
28103822,highway,secondary,regular
28103822,name,Bahadur shah Zafar Marg,regular
28103829,highway,secondary,regular
28103829,name,Inderprastha Marg,regular
28103829,oneway,yes,regular
28103831,highway,secondary,regular
28103831,name,Vikas Marg,regular
28103831,oneway,yes,regular
28103850,highway,residential,regular
28103850,oneway,yes,regular
