id,user,uid,version,changeset,timestamp
24583773,Oberaffe,56597,7,24645265,2014-08-10T00:23:23Z
24583775,Oberaffe,56597,9,24645265,2014-08-10T00:23:23Z
24583776,Oberaffe,56597,11,24645209,2014-08-10T00:14:42Z
24583777,Oberaffe,56597,9,24645209,2014-08-10T00:14:46Z
24584373,PlaneMad,1306,15,32799046,2015-07-22T11:18:30Z
24584374,OSMF Redaction Account,722137,5,12382008,2012-07-20T15:54:06Z
24584375,PlaneMad,1306,6,32595532,2015-07-13T07:49:24Z
24584376,PlaneMad,1306,6,32595532,2015-07-13T07:49:24Z
24584377,PlaneMad,1306,5,21213229,2014-03-20T16:54:30Z
24584378,PlaneMad,1306,9,21213229,2014-03-20T16:54:30Z
24584379,PlaneMad,1306,8,21213229,2014-03-20T16:54:30Z
24584380,PlaneMad,1306,7,21213229,2014-03-20T16:54:30Z
24584381,synalik,463033,3,19615252,2013-12-24T10:45:12Z
24584382,PlaneMad,1306,4,21213131,2014-03-20T16:48:10Z
24584383,PlaneMad,1306,5,21213131,2014-03-20T16:48:11Z
24584384,synalik,463033,3,19615252,2013-12-24T10:45:13Z
24584385,saikumar,2900470,4,31555429,2015-05-29T07:08:42Z
24584386,PlaneMad,1306,5,21213229,2014-03-20T16:54:31Z
24584387,PlaneMad,1306,4,6000751,2010-10-10T10:59:10Z
24584388,robgeb,336460,6,8780446,2011-07-20T16:59:03Z
24584389,PlaneMad,1306,9,21213229,2014-03-20T16:54:31Z
